Country,SNE1_X,SNE1_Y,SNE2_X,SNE2_Y,BeeSwarm1,BeeSwarm2
Seychelles,8.5556555,-16.801123,-63.12389505,0.281421964,0.971151013,0.526442199
Sierra Leone,-3.342642,1.5798299,2.091639512,0.122184912,0.965312319,0.633217015
Singapore,-0.9612068,-2.3177438,-1.709902242,1.445710116,0.982651016,0.703350757
Sint Maarten (Dutch part),9.012231,-18.116648,6.654718322,0.285888894,0.97904754,0.387230993
Slovak Republic,-0.9112609,-2.296618,0.40815423,-0.119769948,0.73482627,0.034166941
Slovenia,2.7535481,-7.5775843,24.22608059,11.64855181,0.746424071,0.31560978
Solomon Islands,5.2819934,-11.65306,0.724617602,-53.15577819,0.397701266,0.292241412
Somalia,-7.952412,6.6077046,-4.824161584,0.050741951,0.914158468,0.048388369
South Africa,-14.313938,12.361056,10.27078742,23.39750662,0.922066769,0.259603721
South Sudan,-5.1348453,3.204821,-5.928771281,-26.69555831,0.498173838,0.059145467
Spain,-13.538022,11.430087,0.876013677,1.137131967,0.758639563,0.941294054
Sri Lanka,-9.184901,7.989806,18.22913513,19.81245559,0.505484081,0.236500483
St. Kitts and Nevis,9.227421,-17.778633,0.699044839,-2.660633019,0.935891902,0.755601653
St. Lucia,7.439751,-15.45749,24.95520097,1.660396666,0.356127951,0.515644902
St. Martin (French part),9.568841,-18.235455,0.73950545,-13.35299434,0.975858521,0.24137378
St. Vincent and the Grenadines,8.47354,-16.686306,-17.62857475,1.749545795,0.808929515,0.174087518
Sudan,-13.111141,11.53676,28.77314359,14.16220278,0.50979028,0.578475268
Suriname,5.158041,-12.174001,10.16797691,14.66784004,0.849285408,0.141724163
Sweden,-4.9048223,3.0030923,-20.99742341,-28.80534734,0.893504465,0.986332916
Switzerland,-3.5756497,1.9078798,-0.068169713,2.339698611,0.785278981,0.035648794
Syrian Arab Republic,-8.889085,7.81979,-1.893049211,0.23172913,0.787560665,0.487622903
Tajikistan,-4.0181365,2.8906167,-17.62857475,4.509882585,0.944628818,0.593124478
Tanzania,-14.517583,12.6232605,-10.72954422,0.170437247,0.418139955,0.305840449
Thailand,-14.8716545,13.048058,-0.598758534,4.62065235,0.678571195,0.421124987
Timor-Leste,3.9408681,-9.46842,-1.266629271,11.76079418,0.753848224,0.088858345
Togo,-3.5312936,1.8455346,6.570937815,14.16220278,0.270801212,0.7124036
Tonga,8.444366,-16.647764,0.438198818,22.96805388,0.998198083,0.402450188
Trinidad and Tobago,3.629458,-8.949684,-0.662029926,0.931601385,0.992419699,0.488232476
Tunisia,-5.462451,4.3603816,2.944017545,-3.04384192,0.398413134,0.314225946
Turkiye,-15.212352,13.642914,-21.27519675,-13.54771726,0.876989525,0.25002665
Turkmenistan,-1.0958467,-1.0843309,29.33754439,27.42967939,0.937853098,0.991877729
Turks and Caicos Islands,8.495116,-18.285667,-10.6960847,-15.5656676,0.819103128,0.256356045
Tuvalu,9.389662,-18.929846,0.526565661,0.223037613,0.965984275,0.710256361
Uganda,-13.436024,11.234857,23.66871729,0.113062333,0.995982324,0.287767599
Ukraine,-13.100174,11.055673,43.30507991,18.6000548,0.982112573,0.377494681
United Arab Emirates,-3.8731413,2.5387728,-1.642356446,1.749545795,0.791443759,0.990410749
United Kingdom,-14.710233,12.816857,-1.139887,-20.63610102,0.967176884,0.486136329
United States,-14.521919,16.608305,23.66871729,1.001074884,0.858702977,0.364838719
Uruguay,1.3680203,-5.285331,-1.67234915,-61.47261693,0.964042167,0.325578382
Uzbekistan,-12.010705,10.052988,4.044049078,4.8802171,0.820073133,0.448494591
Vanuatu,6.587977,-13.929281,23.66871729,-1.085170294,0.720411101,0.085370122
"Venezuela, RB",-10.629396,9.295452,5.682414204,-0.146797042,0.762634639,0.120082911
Vietnam,-15.413413,14.147944,2.42433595,-104.1437143,0.923460545,0.226830667
Virgin Islands (U.S.),7.891905,-16.95505,30.44534279,-18.19115962,0.668786868,0.965050259
West Bank and Gaza,-0.35482135,-2.9664686,-1.709902242,27.43299817,0.99838511,0.645697564
"Yemen, Rep.",-11.443124,9.986238,-68.08861568,1.77515311,0.840165516,0.516829986
Zambia,-8.51016,7.319939,-7.953092545,3.928058104,0.992233473,0.2557333
Zimbabwe,-7.4212227,6.317645,0.590020445,0.170437247,0.972405519,0.566160401
